# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 2.50000000e+00
# lRef          : 2.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
9.5             	9.66042140e-09	8.58520355e-01	7.67841146e-07	3.93580994e-07	3.74260151e-07
9.55            	9.79009121e-09	8.57515127e-01	9.43532709e-07	4.81556446e-07	4.61976263e-07
9.6             	9.80834237e-09	8.56563062e-01	7.41646002e-07	3.80631343e-07	3.61014659e-07
9.65            	9.66491121e-09	8.55655211e-01	7.86912844e-07	4.03121333e-07	3.83791511e-07
9.7             	9.47951398e-09	8.54808811e-01	7.38034309e-07	3.78496669e-07	3.59537641e-07
9.75            	9.31886211e-09	8.53950215e-01	7.16657973e-07	3.67647849e-07	3.49010124e-07
9.8             	9.14665129e-09	8.53142497e-01	7.21348724e-07	3.69821013e-07	3.51527711e-07
9.85            	9.00868952e-09	8.52282000e-01	6.74701684e-07	3.46359532e-07	3.28342153e-07
9.9             	8.87565367e-09	8.51456597e-01	7.16096209e-07	3.66923758e-07	3.49172451e-07
9.95            	8.75438004e-09	8.50529224e-01	6.63477311e-07	3.40493036e-07	3.22984275e-07
10              	8.55854943e-09	8.49631180e-01	5.72512505e-07	2.94814802e-07	2.77697703e-07
10.05           	8.39942332e-09	8.48799819e-01	6.49549908e-07	3.33174377e-07	3.16375531e-07
10.1            	8.28047540e-09	8.47893453e-01	6.61396580e-07	3.38978765e-07	3.22417814e-07
10.15           	8.15881604e-09	8.47025935e-01	5.97282430e-07	3.06800031e-07	2.90482399e-07
10.2            	8.04284732e-09	8.46222495e-01	6.04596665e-07	3.10341180e-07	2.94255485e-07
10.25           	7.93180717e-09	8.45488970e-01	6.35537592e-07	3.25700603e-07	3.09836989e-07
10.3            	7.77726223e-09	8.44616371e-01	5.06722289e-07	2.61138407e-07	2.45583882e-07
10.35           	7.63716738e-09	8.43748353e-01	5.23114160e-07	2.69194247e-07	2.53919912e-07
10.4            	7.51447742e-09	8.42945356e-01	5.22179971e-07	2.68604463e-07	2.53575508e-07
10.45           	7.41116705e-09	8.42079194e-01	5.10663346e-07	2.62742840e-07	2.47920506e-07
10.5            	7.25170246e-09	8.41154880e-01	4.04536690e-07	2.09520048e-07	1.95016643e-07
10.55           	7.11766311e-09	8.40320490e-01	4.86881477e-07	2.50558402e-07	2.36323075e-07
10.6            	6.96520536e-09	8.39453161e-01	3.76300282e-07	1.95115346e-07	1.81184936e-07
10.65           	6.85347328e-09	8.38570308e-01	4.62740958e-07	2.38223952e-07	2.24517006e-07
10.7            	6.77054974e-09	8.37787417e-01	3.79591509e-07	1.96566304e-07	1.83025205e-07
10.75           	6.61568818e-09	8.36881064e-01	3.45152017e-07	1.79191697e-07	1.65960320e-07
10.8            	6.50334823e-09	8.36120880e-01	4.26762005e-07	2.19884351e-07	2.06877654e-07
10.85           	6.41068429e-09	8.35328541e-01	3.29446067e-07	1.71133718e-07	1.58312349e-07
10.9            	6.25204319e-09	8.34518449e-01	3.23678915e-07	1.68091501e-07	1.55587415e-07
10.95           	6.06623259e-09	8.33701059e-01	2.85193042e-07	1.48662754e-07	1.36530288e-07
11              	5.88643463e-09	8.32929088e-01	3.07568078e-07	1.59670473e-07	1.47897604e-07
11.05           	5.68985133e-09	8.32132936e-01	2.79637801e-07	1.45508752e-07	1.34129049e-07
11.1            	5.49024416e-09	8.31381458e-01	2.72067925e-07	1.41524207e-07	1.30543719e-07
11.15           	5.28637209e-09	8.30551679e-01	2.33504561e-07	1.22038653e-07	1.11465908e-07
11.2            	5.11334906e-09	8.29872264e-01	3.63508516e-07	1.86867607e-07	1.76640909e-07
11.25           	4.90036691e-09	8.29139827e-01	2.44969532e-07	1.27385133e-07	1.17584399e-07
11.3            	4.66151414e-09	8.28442243e-01	2.22612208e-07	1.15967618e-07	1.06644590e-07
11.35           	4.47903188e-09	8.27846703e-01	3.42299343e-07	1.75628703e-07	1.66670640e-07
11.4            	4.23452741e-09	8.27154598e-01	2.36728372e-07	1.22598714e-07	1.14129659e-07
11.45           	3.98625676e-09	8.26496068e-01	2.61100712e-07	1.34536613e-07	1.26564099e-07
11.5            	3.70713555e-09	8.25776826e-01	2.21642935e-07	1.14528603e-07	1.07114332e-07
11.55           	3.42934932e-09	8.25137794e-01	2.47778490e-07	1.27318594e-07	1.20459896e-07
11.6            	3.15538049e-09	8.24504783e-01	2.98200528e-07	1.52255645e-07	1.45944884e-07
11.65           	2.85849570e-09	8.23809082e-01	2.43764315e-07	1.24740653e-07	1.19023662e-07
11.7            	2.55496308e-09	8.23114894e-01	2.30582174e-07	1.17846050e-07	1.12736124e-07
11.75           	2.25154125e-09	8.22394518e-01	2.86077960e-07	1.45290521e-07	1.40787439e-07
11.8            	1.93358574e-09	8.21670051e-01	2.34031648e-07	1.18949410e-07	1.15082238e-07
11.85           	1.62222343e-09	8.20970360e-01	2.34920524e-07	1.19082485e-07	1.15838039e-07
11.9            	1.31491369e-09	8.20255205e-01	2.62184514e-07	1.32407170e-07	1.29777343e-07
11.95           	1.03899877e-09	8.19580324e-01	2.78128762e-07	1.40103380e-07	1.38025382e-07
12              	7.21104947e-10	8.18839447e-01	2.10941638e-07	1.06191924e-07	1.04749714e-07
12.05           	4.41461446e-10	8.18126577e-01	2.89448716e-07	1.45165819e-07	1.44282897e-07
12.1            	1.58906565e-10	8.17404409e-01	2.81310740e-07	1.40814276e-07	1.40496463e-07
12.15           	-1.29407158e-10	8.16671471e-01	2.67482888e-07	1.33612037e-07	1.33870851e-07
12.2            	-3.82827681e-10	8.15955293e-01	3.38296054e-07	1.68765199e-07	1.69530855e-07
12.25           	-6.14827965e-10	8.15222288e-01	3.90361048e-07	1.94565696e-07	1.95795352e-07
12.3            	-4.10888499e-10	8.14517128e-01	6.45899694e-07	3.22538958e-07	3.23360735e-07
12.35           	-6.32581346e-10	8.13786522e-01	3.85786662e-07	1.92260750e-07	1.93525912e-07
12.4            	-9.16875867e-10	8.13090854e-01	3.94873528e-07	1.96519888e-07	1.98353640e-07
12.45           	-7.44718917e-10	8.12400667e-01	7.85258379e-07	3.91884471e-07	3.93373909e-07
12.5            	-5.57853872e-10	8.11709631e-01	7.73054554e-07	3.85969423e-07	3.87085131e-07
12.55           	-4.35542391e-10	8.10997153e-01	7.58488844e-07	3.78808880e-07	3.79679964e-07
12.6            	-3.06799239e-10	8.10343642e-01	8.97268613e-07	4.48327507e-07	4.48941106e-07
