# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous)	moments(pressure viscous)
2.5             	((6.36005356e+00 -6.22598305e-07 3.76490315e-20) (7.98986799e-01 -1.56942188e-08 -5.96253240e-22)) ((1.32731061e-18 -3.33299068e-20 1.61154076e-13) (-7.37381957e-19 6.55849589e-22 7.55442611e-09))
2.55            	((6.33363356e+00 -8.10920488e-07 3.71632413e-20) (7.95336672e-01 -1.45242266e-08 -5.90179197e-22)) ((1.32386765e-18 -3.32246177e-20 1.53300983e-13) (-7.42823933e-19 6.52720355e-22 8.44629371e-09))
2.6             	((6.30847698e+00 -7.41240452e-07 3.66806222e-20) (7.91779509e-01 -1.41007439e-08 -5.84639468e-22)) ((1.32083697e-18 -3.31219655e-20 1.55856231e-13) (-7.48186480e-19 6.49846560e-22 9.40652196e-09))
2.65            	((6.28110664e+00 -6.65512349e-07 3.61832802e-20) (7.88286158e-01 -1.36686197e-08 -5.79601618e-22)) ((1.31774296e-18 -3.30040361e-20 1.54049516e-13) (-7.53198094e-19 6.47246459e-22 1.04070128e-08))
2.7             	((6.25289465e+00 -6.61221019e-07 3.57031371e-20) (7.84859324e-01 -1.44067238e-08 -5.75071763e-22)) ((1.31457684e-18 -3.28798055e-20 1.85480971e-13) (-7.58221943e-19 6.44986955e-22 1.05133188e-08))
2.75            	((6.22204203e+00 -8.03209754e-07 3.51846519e-20) (7.81488939e-01 -1.42450598e-08 -5.70969622e-22)) ((1.31133054e-18 -3.27468499e-20 1.90035487e-13) (-7.62973271e-19 6.43015653e-22 9.96385147e-09))
2.8             	((6.19844810e+00 -8.66574855e-07 3.48004070e-20) (7.78265106e-01 -1.51538156e-08 -5.67185052e-22)) ((1.30810270e-18 -3.26510685e-20 1.46309180e-13) (-7.68340390e-19 6.41304830e-22 9.93052888e-09))
2.85            	((6.17126673e+00 -6.53917064e-07 3.44065197e-20) (7.75130614e-01 -1.50803946e-08 -5.63447906e-22)) ((1.30417387e-18 -3.25337447e-20 1.90295696e-13) (-7.73709249e-19 6.39631964e-22 9.42413775e-09))
2.9             	((6.14225662e+00 -6.63653071e-07 3.39723371e-20) (7.72052800e-01 -1.47464799e-08 -5.59866879e-22)) ((1.30050952e-18 -3.24156465e-20 1.82157241e-13) (-7.78573057e-19 6.38129960e-22 9.05020599e-09))
2.95            	((6.11100054e+00 -8.69175187e-07 3.35383055e-20) (7.68991645e-01 -1.61590192e-08 -5.56238960e-22)) ((1.29664763e-18 -3.22835401e-20 1.90622691e-13) (-7.82932567e-19 6.36600706e-22 8.64623922e-09))
3               	((6.08082889e+00 -7.63681404e-07 3.31119435e-20) (7.65945310e-01 -1.71848495e-08 -5.52635696e-22)) ((1.29253807e-18 -3.21535026e-20 1.93674070e-13) (-7.87221124e-19 6.35115844e-22 8.30446496e-09))
3.05            	((6.05007277e+00 -6.55877712e-07 3.26615188e-20) (7.62905989e-01 -1.75140002e-08 -5.49077635e-22)) ((1.28852414e-18 -3.20224485e-20 1.93299370e-13) (-7.91445714e-19 6.33701528e-22 8.05936706e-09))
3.1             	((6.02302135e+00 -7.00654504e-07 3.22910353e-20) (7.59911935e-01 -1.79176051e-08 -5.45615041e-22)) ((1.28439947e-18 -3.19106900e-20 1.98498336e-13) (-7.95991739e-19 6.32387654e-22 8.11830790e-09))
3.15            	((5.99591583e+00 -7.13370431e-07 3.19106545e-20) (7.56970991e-01 -1.92752892e-08 -5.42089411e-22)) ((1.28058922e-18 -3.17991971e-20 2.00901362e-13) (-7.98748991e-19 6.31063782e-22 7.30406818e-09))
3.2             	((5.97120038e+00 -6.65666866e-07 3.15441419e-20) (7.54083035e-01 -2.01652390e-08 -5.38658474e-22)) ((1.27696170e-18 -3.17018882e-20 2.00442093e-13) (-8.01257578e-19 6.29752682e-22 7.00265072e-09))
3.25            	((5.94564509e+00 -7.54847775e-07 3.11717867e-20) (7.51245918e-01 -2.16084790e-08 -5.35278011e-22)) ((1.27327323e-18 -3.16022897e-20 1.91333928e-13) (-8.03832037e-19 6.28425351e-22 5.53034638e-09))
