# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous)	moments(pressure viscous)
2.6             	((1.09736020e+00 -1.95234386e-07 9.53468238e-21) (2.82974846e-01 3.10103053e-09 -1.38414071e-22)) ((1.84379005e-19 -5.83082437e-21 8.97209824e-15) (-1.08994376e-19 1.45728263e-22 -5.63547079e-10))
2.65            	((1.10227098e+00 -2.16658849e-07 9.48320212e-21) (2.81790826e-01 3.00502447e-09 -1.39477275e-22)) ((1.86231832e-19 -5.86124739e-21 9.48134800e-15) (-1.07489486e-19 1.47084320e-22 -5.48206348e-10))
2.7             	((1.10666378e+00 -2.24381783e-07 9.43364705e-21) (2.80654839e-01 2.86748145e-09 -1.40452832e-22)) ((1.87891174e-19 -5.88787169e-21 9.52341504e-15) (-1.07320042e-19 1.48354990e-22 -5.93697301e-10))
2.75            	((1.11127362e+00 -2.13277621e-07 9.38798876e-21) (2.79566502e-01 2.89182892e-09 -1.41417932e-22)) ((1.89523422e-19 -5.91822926e-21 9.18308398e-15) (-1.07183116e-19 1.49617920e-22 -6.18876799e-10))
2.8             	((1.11480065e+00 -2.16581411e-07 9.33495285e-21) (2.78544070e-01 2.92346383e-09 -1.42255093e-22)) ((1.90994880e-19 -5.94120475e-21 9.85279566e-15) (-1.07143587e-19 1.50752278e-22 -7.21872662e-10))
2.85            	((1.11844667e+00 -1.70169123e-07 9.28759312e-21) (2.77627346e-01 2.97936422e-09 -1.43077395e-22)) ((1.92366732e-19 -5.96634185e-21 9.45456820e-15) (-1.07359662e-19 1.51866317e-22 -6.96401518e-10))
2.9             	((1.12195569e+00 -2.02529559e-07 9.23943808e-21) (2.76789386e-01 2.73858424e-09 -1.43770983e-22)) ((1.93758904e-19 -5.98876217e-21 1.03973904e-14) (-1.07796268e-19 1.52848971e-22 -6.48975948e-10))
2.95            	((1.12538150e+00 -1.74081023e-07 9.19521384e-21) (2.75992088e-01 2.67937081e-09 -1.44472475e-22)) ((1.94998328e-19 -6.01330217e-21 1.04582142e-14) (-1.08140312e-19 1.53834452e-22 -5.92647299e-10))
3               	((1.12742350e+00 -1.98809579e-07 9.14214409e-21) (2.75196758e-01 2.44211761e-09 -1.45031895e-22)) ((1.96072216e-19 -6.02867883e-21 1.06748377e-14) (-1.08397054e-19 1.54678652e-22 -5.64597398e-10))
3.05            	((1.12974775e+00 -1.90451730e-07 9.09349737e-21) (2.74367510e-01 2.16556142e-09 -1.45520620e-22)) ((1.97088254e-19 -6.04573884e-21 1.16421629e-14) (-1.08485979e-19 1.55461692e-22 -5.31341509e-10))
3.1             	((1.13176986e+00 -1.94130506e-07 9.04915405e-21) (2.73529120e-01 2.01717379e-09 -1.45898279e-22)) ((1.97876045e-19 -6.06259638e-21 1.21841556e-14) (-1.08574027e-19 1.56224569e-22 -5.22353487e-10))
3.15            	((1.13324249e+00 -1.95675116e-07 9.00021437e-21) (2.72715042e-01 1.92026914e-09 -1.46044391e-22)) ((1.98550249e-19 -6.07611385e-21 1.24340642e-14) (-1.08487471e-19 1.56892276e-22 -5.14820147e-10))
3.2             	((1.13443980e+00 -2.08924432e-07 8.95187270e-21) (2.71934052e-01 1.76268618e-09 -1.46033522e-22)) ((1.99243692e-19 -6.08990826e-21 1.24240895e-14) (-1.08373110e-19 1.57537429e-22 -5.11213644e-10))
3.25            	((1.13544762e+00 -2.16307838e-07 8.90132496e-21) (2.71188840e-01 1.59657934e-09 -1.45790621e-22)) ((1.99951623e-19 -6.10200073e-21 1.21497864e-14) (-1.08192145e-19 1.58072648e-22 -5.16922836e-10))
3.3             	((1.13604195e+00 -2.19081481e-07 8.85205920e-21) (2.70471601e-01 1.45255256e-09 -1.45432233e-22)) ((2.00418893e-19 -6.11263556e-21 1.34972328e-14) (-1.08121858e-19 1.58597412e-22 -5.31318017e-10))
3.35            	((1.13688429e+00 -2.27654391e-07 8.80519839e-21) (2.69777960e-01 1.32029518e-09 -1.44994039e-22)) ((2.00918078e-19 -6.12292542e-21 1.36694042e-14) (-1.08067298e-19 1.58983033e-22 -5.14947892e-10))
3.4             	((1.13659074e+00 -2.06221821e-07 8.75038928e-21) (2.69095975e-01 1.37942312e-09 -1.44608219e-22)) ((2.01282799e-19 -6.12924585e-21 1.33576960e-14) (-1.07931143e-19 1.59358453e-22 -4.96069814e-10))
3.45            	((1.13644522e+00 -2.06207544e-07 8.70067192e-21) (2.68429154e-01 1.34037169e-09 -1.44100157e-22)) ((2.01646632e-19 -6.13618923e-21 1.32529621e-14) (-1.07514426e-19 1.59655862e-22 -5.57598426e-10))
3.5             	((1.13632321e+00 -2.40796418e-07 8.65081257e-21) (2.67778011e-01 1.22558137e-09 -1.43486874e-22)) ((2.01940699e-19 -6.14289807e-21 1.40536454e-14) (-1.07222414e-19 1.59876214e-22 -5.28096606e-10))
3.55            	((1.13526244e+00 -2.44165439e-07 8.60146719e-21) (2.67130700e-01 1.09217722e-09 -1.42820841e-22)) ((2.01985143e-19 -6.14367845e-21 1.42450071e-14) (-1.06902787e-19 1.60037808e-22 -5.10058881e-10))
3.6             	((1.13449098e+00 -2.32049047e-07 8.55306444e-21) (2.66470396e-01 1.06350180e-09 -1.42230017e-22)) ((2.02077634e-19 -6.14729601e-21 1.51455454e-14) (-1.06554678e-19 1.60129096e-22 -4.89290332e-10))
3.65            	((1.13367028e+00 -2.32384258e-07 8.50707111e-21) (2.65802195e-01 1.11148915e-09 -1.41265426e-22)) ((2.02144472e-19 -6.15102959e-21 1.51931419e-14) (-1.06060625e-19 1.60179521e-22 -4.65816986e-10))
3.7             	((1.13231008e+00 3.96044799e-07 8.45992903e-21) (2.65135753e-01 5.14758718e-09 -1.39562615e-22)) ((2.02095728e-19 -6.15110221e-21 9.60516389e-15) (-1.05325677e-19 1.60190911e-22 -3.20079076e-10))
3.75            	((1.13104275e+00 -9.59008722e-07 8.41471703e-21) (2.64473036e-01 1.46796143e-10 -1.38044073e-22)) ((2.02043913e-19 -6.15292286e-21 1.96927977e-14) (-1.04650279e-19 1.60176938e-22 -3.80264350e-10))
3.8             	((1.12990668e+00 -6.02306818e-08 8.37329277e-21) (2.63824960e-01 1.66735365e-10 -1.36675384e-22)) ((2.01975951e-19 -6.15544082e-21 1.45271165e-14) (-1.04241166e-19 1.60108718e-22 -3.35213118e-10))
3.85            	((1.12715830e+00 4.12597802e-07 8.32139507e-21) (2.63180265e-01 4.44678749e-09 -1.35364891e-22)) ((2.01719373e-19 -6.14587104e-21 1.06514190e-14) (-1.03899856e-19 1.59913077e-22 -2.11815149e-10))
3.9             	((1.12540752e+00 -9.71502945e-07 8.27560814e-21) (2.62542833e-01 -5.00311122e-10 -1.34247419e-22)) ((2.01600921e-19 -6.14588681e-21 1.98493565e-14) (-1.03583333e-19 1.59780385e-22 -2.46029513e-10))
3.95            	((1.12386887e+00 5.58598832e-07 8.23374816e-21) (2.61912768e-01 3.54968181e-09 -1.33195863e-22)) ((2.01472648e-19 -6.14634887e-21 1.01519270e-14) (-1.03240962e-19 1.59587424e-22 -3.91036387e-11))
4               	((1.12206698e+00 -3.39526690e-07 8.19224868e-21) (2.61290449e-01 2.76433235e-09 -1.32166980e-22)) ((2.01322124e-19 -6.14461496e-21 1.48996484e-14) (-1.02881890e-19 1.59325642e-22 3.96850608e-11))
