# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 2.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
11.45           	-7.53771442e-10	1.13434824e+00	8.30293793e-08	4.07609182e-08	4.22684611e-08
11.5            	-7.04683469e-10	1.13360022e+00	9.51513008e-08	4.68709670e-08	4.82803339e-08
11.55           	-6.56276347e-10	1.13285970e+00	7.40937060e-08	3.63905767e-08	3.77031294e-08
11.6            	-6.16779578e-10	1.13210549e+00	5.79810161e-08	2.83737285e-08	2.96072876e-08
11.65           	-5.84247112e-10	1.13144915e+00	8.25063844e-08	4.06689451e-08	4.18374393e-08
11.7            	-4.78365738e-10	1.13048627e+00	3.94498106e-07	1.96770687e-07	1.97727419e-07
11.75           	-3.90478806e-10	1.12960705e+00	6.24843301e-08	3.08516863e-08	3.16326439e-08
11.8            	-4.02319887e-10	1.12904190e+00	-2.54420402e-07	-1.27612521e-07	-1.26807881e-07
11.85           	-3.38013121e-10	1.12832091e+00	4.39335365e-07	2.19329669e-07	2.20005695e-07
11.9            	-3.04925845e-10	1.12759391e+00	6.10022816e-08	3.01962150e-08	3.08060666e-08
11.95           	-2.50122428e-10	1.12688733e+00	1.65320763e-07	8.24102588e-08	8.29105037e-08
12              	-1.97539129e-10	1.12610749e+00	1.36121454e-07	6.78631877e-08	6.82582659e-08
12.05           	-1.45412928e-10	1.12537957e+00	1.47029642e-07	7.33694081e-08	7.36602339e-08
12.1            	-9.51122955e-11	1.12465589e+00	1.56147430e-07	7.79786027e-08	7.81688273e-08
12.15           	-4.47145874e-11	1.12393370e+00	1.60396517e-07	8.01535440e-08	8.02429732e-08
